Код BSU,Артикул,Артикул цифровой,Наименование,Наименование для сайта,Версия,Тип элемента,Штрихкод штука,Штрихкод коробка,Штрихкод паллет,Бренд,Коллекция,Стиль коллекции,Базовая единица измерения,Формат плиты номинальный,Формат плиты округленный,Формат коллекции округленный,Ширина плитки (см),Длина плитки (см),Толщина плитки (см),Вес одной плитки (кг),Количество слоев в паллете,Количество коробов в слое паллеты,Количество коробов на паллете,Количество изделий в коробке,Количество плиток в коробке,М2 в одной коробке,Ширина коробки (м),Длина коробки (м),Высота коробки (м),Вес коробки брутто (кг),Вес коробки нетто (кг),м2/шт на паллете,Ширина паллеты (м),Длина паллеты (м),Высота паллеты (м),Вес паллеты брутто (кг),Вес паллеты нетто (кг),Короб пустой брутто (кг),Поддон пустой брутто (кг),Вес полиэтилена (кг),Страна происхождения,Цвет плитки,Дизайн,Материал,Вид поверхности,Поверхность,Фактура поверхности,Ректификат,Рельеф,Водопоглащение,Морозостойкость,Класс износостойкости,Класс устойчивости к скольжению,Количество фрагментов рисунка,Назначение,Применение,Помещения,Фото плиты,Фото Коллекции,Кол-во доп фото коллекции,Доп фото коллекции,"Видео 360, YouTube"
LS4O096,A-LS4O096\J,10075,"Ступень Lofthouse серый 29,7x59,8","Ступень Cersanit Lofthouse  серый  29,7x59,8 LS4O096",,Ступень,4690311079954,4690311079947,,Cersanit,Lofthouse,Современный,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","0,75","3,41",,,,6,6,,"0,3","0,62","0,075","20,62","20,448",240,"0,8","1,2","0,7","853,3","817,92","0,172",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,5,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/8c9/LS4O096.jpg,,,,
LS4O526,A-LS4O526\J,10077,"Ступень Lofthouse светло-серый 29,7x59,8","Ступень Cersanit Lofthouse  светло-серый  29,7x59,8 LS4O526",,Ступень,4690311079992,4690311079985,,Cersanit,Lofthouse,Современный,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","0,75","3,47",,,,6,6,,"0,3","0,62","0,075",21,"20,832",240,"0,8","1,2","0,7","868,5","833,28","0,172",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R10,5,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/e1d/LS4O526.jpg,,,,
LS5A096,A-LS5A096\J,10078,"Плинтус Lofthouse серый 7x59,8","Плинтус Cersanit Lofthouse  серый  7x59,8 LS5A096",,Плинтус,4690311078940,4690311078933,,Cersanit,Lofthouse,Современный,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,85",,,,18,18,,"0,2","0,63","0,075","15,44","15,336",864,"0,8","1,2","0,7","769,62","736,128","0,11",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/a4f/LS5A096.jpg,,,,
LS5A526,A-LS5A526\J,10080,"Плинтус Lofthouse светло-серый 7x59,8","Плинтус Cersanit Lofthouse  светло-серый  7x59,8 LS5A526",,Плинтус,4690311078988,4690311078971,,Cersanit,Lofthouse,Современный,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,81",,,,18,18,,"0,2","0,63","0,075","14,72","14,616",864,"0,8","1,2","0,7","735,06","701,568","0,11",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/2f9/LS5A526.jpg,,,,
LS6O096,A-LS6O096\J,10084,"Напольная мозаика Lofthouse серый 28,3x24,6","Мозаика на сетке Cersanit Lofthouse  серый  28,3x24,6 LS6O096",,Мозаика на сетке,4690311080011,4690311080004,,Cersanit,Lofthouse,Современный,шт.,"28,3x24,6",28x25,30x60,"28,3","24,6","0,95","0,97",,,,10,10,,"0,325","0,326","0,104","9,78","9,67",360,"0,8","1,2","0,7","380,58","348,12","0,11",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",,,,,Универсальный,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/1d7/LS6O096.jpg,https://pvi.cersanit.ru/upload/uf/0db/INT_LOFTHOUSE_5_1.jpg,4,https://pvi.cersanit.ru/upload/uf/ed3/INT_LOFTHOUSE_5_3.jpg;https://pvi.cersanit.ru/upload/uf/5aa/INT_LOFTHOUSE_5_4.jpg;https://pvi.cersanit.ru/upload/uf/b7f/INT_LOFTHOUSE_5_5.jpg;https://pvi.cersanit.ru/upload/uf/c13/INT_LOFTHOUSE_5_6.jpg,
LS6O526,A-LS6O526\J,10086,"Напольная мозаика Lofthouse светло-серый 28,3x24,6","Мозаика на сетке Cersanit Lofthouse  светло-серый  28,3x24,6 LS6O526",,Мозаика на сетке,4690311080059,4690311080042,,Cersanit,Lofthouse,Современный,шт.,"28,3x24,6",28x25,30x60,"28,3","24,6","0,95","0,99",,,,10,10,,"0,325","0,331","0,105","9,98","9,87",360,"0,8","1,2","0,7","387,78","355,32","0,11",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",,,,,Универсальный,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/e19/LS6O526.jpg,https://pvi.cersanit.ru/upload/uf/3c8/2_13_.jpg,,,
RS2L451,A-RS2L451\G,10147,Настенная мозаика Royal Stone многоцветный 30x30,Мозаика на сетке Cersanit Royal Stone  многоцветный  30x30 RS2L451,,Мозаика на сетке,4690311074683,4690311074768,,Cersanit,Royal Stone,Классический,шт.,30x30,30x30,30x60,30,30,1,"1,21",,,,17,17,,"0,355","0,336","0,185","20,62","20,502",408,"0,8","1,2","0,7","523,38","492,048","0,11",28,0.500,РОССИЯ,многоцветный,Камень,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/084/RS2L451.jpg,https://pvi.cersanit.ru/upload/uf/cb8/INT_Royal_stone_2_1.jpg,7,https://pvi.cersanit.ru/upload/uf/299/INT_Royal_stone_2_2.jpg;https://pvi.cersanit.ru/upload/uf/976/INT_Royal_stone_2_3.jpg;https://pvi.cersanit.ru/upload/uf/cae/Royal_Stone.jpg;https://pvi.cersanit.ru/upload/uf/59a/INT_Colorwood_2_1.jpg;https://pvi.cersanit.ru/upload/uf/58f/INT_Royal_Stone_2_1.jpg;https://pvi.cersanit.ru/upload/uf/653/INT_Royal_Stone_2_2.jpg;https://pvi.cersanit.ru/upload/uf/bb7/INT_Royal_Stone_2_3.jpg,
WS4O116,A-WS4O116\J,10259,"Ступень Woodhouse коричневый 29,7x59,8","Ступень Cersanit Woodhouse  коричневый  29,7x59,8 WS4O116",,Ступень,4690311080233,4690311080226,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,46",,,,6,6,,"0,305","0,61","0,075","20,94","20,772",240,"0,8","1,2","0,7","866,1","830,88","0,172",28,0.500,РОССИЯ,коричневый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/27d/WS4O116.jpg,https://pvi.cersanit.ru/upload/uf/f0c/INT_Woodhouse_WS4O112_3_1.jpg,1,https://pvi.cersanit.ru/upload/uf/1cf/INT_Woodhouse_WS4O112_3_3.jpg,
WS4O156,A-WS4O156\J,10260,"Ступень Woodhouse темно-бежевый 29,7x59,8","Ступень Cersanit Woodhouse  темно-бежевый  29,7x59,8 WS4O156",,Ступень,4690311080257,4690311080240,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,47",,,,6,6,,"0,308","0,612","0,075",21,"20,832",240,"0,8","1,2","0,7","868,5","833,28","0,172",28,0.500,РОССИЯ,темно-бежевый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R10,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/228/WS4O156.jpg,,,,
WS4O526,A-WS4O526\J,10262,"Ступень Woodhouse светло-серый 29,7x59,8","Ступень Cersanit Woodhouse  светло-серый  29,7x59,8 WS4O526",,Ступень,4690311080295,4690311080288,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,52",,,,6,6,,"0,31","0,62","0,075","21,32","21,15",240,"0,8","1,2","0,7","881,3",846,"0,172",28,0.500,РОССИЯ,светло-серый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/ae3/WS4O526.jpg,https://pvi.cersanit.ru/upload/uf/ae1/INT_Woodhouse_522_3_3.jpg,,,
WS5A116,A-WS5A116\J,10265,"Плинтус Woodhouse коричневый 7x59,8","Плинтус Cersanit Woodhouse  коричневый  7x59,8 WS5A116",,Плинтус,4690311079404,4690311079398,,Cersanit,Woodhouse,Классический,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,82",,,,18,18,,"0,2","0,63","0,075","14,86","14,742",864,"0,8","1,2","0,7","741,78","707,616","0,11",28,0.500,РОССИЯ,коричневый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/23b/WS5A116.jpg,,,,
WS5A156,A-WS5A156\J,10266,"Плинтус Woodhouse темно-бежевый 7x59,8","Плинтус Cersanit Woodhouse  темно-бежевый  7x59,8 WS5A156",,Плинтус,4690311079428,4690311079411,,Cersanit,Woodhouse,Классический,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,91",,,,18,18,,"0,2","0,63","0,075","16,44","16,326",864,"0,8","1,2","0,7","817,62","783,648","0,11",28,0.500,РОССИЯ,темно-бежевый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/f64/WS5A156.jpg,,,,
WS5A526,A-WS5A526\J,10268,"Плинтус Woodhouse светло-серый 7x59,8","Плинтус Cersanit Woodhouse  светло-серый  7x59,8 WS5A526",,Плинтус,4690311079466,4690311079459,,Cersanit,Woodhouse,Классический,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,82",,,,18,18,,"0,328","0,335","0,111","14,92","14,814",864,"0,8","1,2","0,7","744,66","711,072","0,11",28,0.500,РОССИЯ,светло-серый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/3d6/WS5A526.jpg,https://pvi.cersanit.ru/upload/uf/ae1/INT_Woodhouse_522_3_3.jpg,,,
WS6O116,A-WS6O116\J,10277,Напольная мозаика Woodhouse коричневый 30x30,Мозаика на сетке Cersanit Woodhouse  коричневый  30x30 WS6O116,,Мозаика на сетке,4690311080356,4690311080349,,Cersanit,Woodhouse,Классический,шт.,30x30,30x30,30x60,30,30,"0,95","1,67",,,,10,10,,"0,325","0,335","0,116","16,78","16,67",360,"0,8","1,2","0,7","632,58","600,12","0,11",28,0.500,РОССИЯ,коричневый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",,,,,Универсальный,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/e89/WS6O116.jpg,https://pvi.cersanit.ru/upload/uf/f0c/INT_Woodhouse_WS4O112_3_1.jpg,7,https://pvi.cersanit.ru/upload/uf/3fb/INT_Lofthouse_Mix_2_1.jpg;https://pvi.cersanit.ru/upload/uf/d5b/INT_Lofthouse_Mix_2_2.jpg;https://pvi.cersanit.ru/upload/uf/e37/INT_Lofthouse_Mix_2_3.jpg;https://pvi.cersanit.ru/upload/uf/17f/INT_Lofthouse_Mix_2_4.jpg;https://pvi.cersanit.ru/upload/uf/e80/INT_Lofthouse_Mix_2_5.jpg;https://pvi.cersanit.ru/upload/uf/584/INT_Lofthouse_Mix_2_6.jpg;https://pvi.cersanit.ru/upload/uf/27c/INT_Lofthouse_Mix_2_7.jpg,https://www.youtube.com/watch?v=fyHT9n1EYDA
NW4M012,C-NW4M012D,11140,"Глаз. керамогранит Northwood бежевый 18,5x59,8","Керамогранит Cersanit Northwood  бежевый  18,5x59,8 NW4M012",,Керамогранит,,4690311067814,14690311067811,Cersanit,Northwood,Современный,м2,"18,5x59,8",18x60,18x60,"18,5","59,8","0,85","2,13",3,16,48,9,9,"0,99","0,2","0,61","0,1","19,33","19,20006","47,52","0,8","1,2","0,97","956,24","921,60288","0,13",28,0.500,РОССИЯ,бежевый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,4,R10,4,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;Коридоры;Лифтовые зоны;Входные группы;Кухня;Коридор;Террасы;Балконы,https://pvi.cersanit.ru/upload/uf/5b6/C_NW4M012D_1a.jpg,https://pvi.cersanit.ru/upload/uf/f6c/Northwood_1.jpg,3,https://pvi.cersanit.ru/upload/uf/1f6/INT_Northwood_012_2_1.jpg;https://pvi.cersanit.ru/upload/uf/a08/INT_Northwood_012_2_2.jpg;https://pvi.cersanit.ru/upload/uf/f49/INT_Northwood_012_2_3.jpg,
DE2L381,DE2L381DT-36,11820,"Настенная вставка Deco орнамент золотистый 29,8x59,8","Настенная вставка Cersanit Deco орнамент золотистый  29,8x59,8 DE2L381",орнамент,Настенная вставка,4690311087935,4690311087928,,Cersanit,Deco,Современный,шт.,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,85",2,18,36,6,6,,"0,31","0,61","0,07","17,38","17,118",216,"0,8","1,2","0,97","654,18","616,248","0,258",28,0.500,РОССИЯ,золотистый,Узоры,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,Нет,,,1,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/028/DE2L381.jpg,https://pvi.cersanit.ru/upload/uf/3a2/Deco_Large_1_2.jpg,12,https://pvi.cersanit.ru/upload/uf/58d/Deco_Large_1.jpg;https://pvi.cersanit.ru/upload/uf/25b/Deco_Large_2.jpg;https://pvi.cersanit.ru/upload/uf/4ab/Deco_Large_3.jpg;https://pvi.cersanit.ru/upload/uf/0f1/Deco_2_Large_1.jpg;https://pvi.cersanit.ru/upload/uf/8bc/Deco_2_Large_4.jpg;https://pvi.cersanit.ru/upload/uf/941/Deco_Mix_1_1.jpg;https://pvi.cersanit.ru/upload/uf/8e6/Deco_Mix_1_2.jpg;https://pvi.cersanit.ru/upload/uf/ae4/Deco_Mix_2_1.jpg;https://pvi.cersanit.ru/upload/uf/020/Deco_Mix_2_3.jpg;https://pvi.cersanit.ru/upload/uf/129/Deco_Mix_2_4.jpg;https://pvi.cersanit.ru/upload/uf/9f9/Deco_Mix_2_5.jpg;https://pvi.cersanit.ru/upload/uf/0b0/Deco_Mix_2_6.jpg,
DEL232,DEL232D-60,11832,"Настенная плитка Deco черный рельеф 29,8x59,8","Плитка Cersanit Deco  черный  рельеф  29,8x59,8 DEL232",,Плитка,,4690311084361,14690311084368,Cersanit,Deco,Современный,м2,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,69",3,16,48,7,7,"1,25","0,31","0,61","0,07","18,99","18,83",60,"0,8","1,2","1,1",940,"903,84","0,164",28,0.500,РОССИЯ,черный,Моноколор,Керамическая плитка,глянцевая,глазурованная,рельефная,,Да,E>10%,Нет,,,1,Стена,Для внутренней отделки,Внутренняя отделка;Санузлы;Номерной фонд;Ванная комната;Гостиная;Спальня,https://pvi.cersanit.ru/upload/uf/b22/DEL232.jpg,https://pvi.cersanit.ru/upload/uf/3a2/Deco_Large_1_2.jpg,12,https://pvi.cersanit.ru/upload/uf/58d/Deco_Large_1.jpg;https://pvi.cersanit.ru/upload/uf/25b/Deco_Large_2.jpg;https://pvi.cersanit.ru/upload/uf/4ab/Deco_Large_3.jpg;https://pvi.cersanit.ru/upload/uf/0f1/Deco_2_Large_1.jpg;https://pvi.cersanit.ru/upload/uf/8bc/Deco_2_Large_4.jpg;https://pvi.cersanit.ru/upload/uf/941/Deco_Mix_1_1.jpg;https://pvi.cersanit.ru/upload/uf/8e6/Deco_Mix_1_2.jpg;https://pvi.cersanit.ru/upload/uf/ae4/Deco_Mix_2_1.jpg;https://pvi.cersanit.ru/upload/uf/020/Deco_Mix_2_3.jpg;https://pvi.cersanit.ru/upload/uf/129/Deco_Mix_2_4.jpg;https://pvi.cersanit.ru/upload/uf/9f9/Deco_Mix_2_5.jpg;https://pvi.cersanit.ru/upload/uf/0b0/Deco_Mix_2_6.jpg,
KT2L051,KT2L051DT-36,12348,"Настенная вставка Calacatta узор белый 29,8x59,8","Настенная вставка Cersanit Calacatta узор белый  29,8x59,8 KT2L051",узор,Настенная вставка,4690311087997,4690311087980,,Cersanit,Calacatta,Классический,шт.,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,82",2,18,36,6,6,,"0,31","0,61","0,08","17,2","16,938",216,"0,8","1,2","0,7","647,7","609,768","0,258",28,0.500,РОССИЯ,белый,Узоры,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/d5d/KT2L051.jpg,https://pvi.cersanit.ru/upload/uf/1e0/Calacatta_Large_1_2.jpg,7,https://pvi.cersanit.ru/upload/uf/b00/Int_Calacatta_2.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_3.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/e91/Int_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/843/Int_Calacatta_2_3.jpg;https://pvi.cersanit.ru/upload/uf/ae8/Calacatta_large_1.jpg;https://pvi.cersanit.ru/upload/uf/437/Calacatta_large_3.jpg;https://pvi.cersanit.ru/upload/uf/894/Calacatta_large_4.jpg;https://pvi.cersanit.ru/upload/uf/964/Calacatta_2_large_1.jpg;https://pvi.cersanit.ru/upload/uf/c9d/Calacatta_2_large_2.jpg;https://pvi.cersanit.ru/upload/uf/4c2/INT_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/fa4/INT_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/798/INT_Calacatta_2_3.jpg,
KTL051,KTL051D-60,12351,"Настенная плитка Calacatta белый 29,8x59,8","Плитка Cersanit Calacatta  белый  29,8x59,8 KTL051",,Плитка,,4690311085498,14690311085495,Cersanit,Calacatta,Классический,м2,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,69",3,16,48,7,7,"1,25","0,31","0,61","0,07","18,99","18,83",60,"0,8","1,2","1,1",940,"903,84","0,164",28,0.500,РОССИЯ,белый,Камень,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,неограниченное,Стена,Для внутренней отделки,Внутренняя отделка;Санузлы;Номерной фонд;Ванная комната;Гостиная;Спальня,https://pvi.cersanit.ru/upload/uf/77c/KTL051st.jpg,https://pvi.cersanit.ru/upload/uf/1e0/Calacatta_Large_1_2.jpg,7,https://pvi.cersanit.ru/upload/uf/b00/Int_Calacatta_2.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_3.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/e91/Int_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/843/Int_Calacatta_2_3.jpg;https://pvi.cersanit.ru/upload/uf/ae8/Calacatta_large_1.jpg;https://pvi.cersanit.ru/upload/uf/437/Calacatta_large_3.jpg;https://pvi.cersanit.ru/upload/uf/894/Calacatta_large_4.jpg;https://pvi.cersanit.ru/upload/uf/964/Calacatta_2_large_1.jpg;https://pvi.cersanit.ru/upload/uf/c9d/Calacatta_2_large_2.jpg;https://pvi.cersanit.ru/upload/uf/4c2/INT_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/fa4/INT_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/798/INT_Calacatta_2_3.jpg,https://www.youtube.com/watch?v=4bKWlp2FZWQ
KTL052,KTL052D-60,12355,"Настенная плитка Calacatta белый рельеф 29,8x59,8","Плитка Cersanit Calacatta  белый  рельеф  29,8x59,8 KTL052",,Плитка,,4690311085511,14690311085518,Cersanit,Calacatta,Классический,м2,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,69",3,16,48,7,7,"1,25","0,31","0,61","0,07","18,99","18,83",60,"0,8","1,2","1,1",940,"903,84","0,164",28,0.500,РОССИЯ,белый,Камень,Керамическая плитка,глянцевая,глазурованная,рельефная,,Да,E>10%,,,,неограниченное,Стена,Для внутренней отделки,Внутренняя отделка;Санузлы;Номерной фонд;Ванная комната;Гостиная;Спальня,https://pvi.cersanit.ru/upload/uf/c2b/KTL052.jpg,https://pvi.cersanit.ru/upload/uf/1e0/Calacatta_Large_1_2.jpg,7,https://pvi.cersanit.ru/upload/uf/b00/Int_Calacatta_2.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_3.jpg;https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/e91/Int_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/843/Int_Calacatta_2_3.jpg;https://pvi.cersanit.ru/upload/uf/ae8/Calacatta_large_1.jpg;https://pvi.cersanit.ru/upload/uf/437/Calacatta_large_3.jpg;https://pvi.cersanit.ru/upload/uf/894/Calacatta_large_4.jpg;https://pvi.cersanit.ru/upload/uf/964/Calacatta_2_large_1.jpg;https://pvi.cersanit.ru/upload/uf/c9d/Calacatta_2_large_2.jpg;https://pvi.cersanit.ru/upload/uf/4c2/INT_Calacatta_2_1.jpg;https://pvi.cersanit.ru/upload/uf/fa4/INT_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/798/INT_Calacatta_2_3.jpg,
EFF-WGA011,O-EFF-WGA011,12954,"Стеклянный бордюр Effecta бежевый 2,5x60","Стеклянный спецэлемент Cersanit Effecta  бежевый  2,5x60 EFF-WGA011",,Стеклянный спецэлемент,4690311042767,5901771356318,,Cersanit,Effecta,Классический,шт.,"2,5x60","2,5x60",30x60,"2,5",60,1,"0,28",,,,18,,,"0,05","0,07","0,1","5,21","5,094",1296,"0,8","1,2","0,7","403,395","366,768","0,11",28,0.500,ПОЛЬША,бежевый,Моноколор,Стекло,глянцевая,,гладкая,,,E=0%,,,,1,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/c45/Effecta_2.5x60_O-EFF-WGA011_decor_jpg.jpg,https://pvi.cersanit.ru/upload/uf/8b9/INT_Effecta_2_1.jpg,6,https://pvi.cersanit.ru/upload/uf/47d/INT_Effecta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/8b0/INT_Effecta_2_3.jpg;https://pvi.cersanit.ru/upload/uf/d7b/Effecta_30x60_int_jpg.jpg;https://pvi.cersanit.ru/upload/uf/584/INT_Effecta_jungle_1_1_.jpg;https://pvi.cersanit.ru/upload/uf/580/INT_Effecta_jungle_1_3.jpg;https://pvi.cersanit.ru/upload/uf/9b2/INT_Effecta_jungle_1_2.jpg,
KT2L052,KT2L052DT-36,15820,"Настенная вставка Calacatta ромбы белый 29,8x59,8","Настенная вставка Cersanit Calacatta ромбы белый  29,8x59,8 KT2L052",ромбы,Настенная вставка,4690311096197,4690311096203,,Cersanit,Calacatta,Классический,шт.,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,82",2,18,36,6,6,,"0,31","0,61","0,08","17,18","16,92",216,"0,8","1,2","0,7","646,98","609,12","0,258",28,0.500,РОССИЯ,белый,Узоры,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/d53/KT2L052_1.jpg,https://pvi.cersanit.ru/upload/uf/020/Int_Calacatta_3.jpg,2,https://pvi.cersanit.ru/upload/uf/e91/Int_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/843/Int_Calacatta_2_3.jpg,
A15923,15923,15923,"Настенное панно Effecta джунгли бежевый 59,6x59,8","Настенное панно Cersanit Effecta джунгли бежевый  59,6x59,8 A15923",джунгли,Настенное панно,4690311101631,4690311101648,,Cersanit,Effecta,Классический,шт.,"59,6x59,8",60x60,30x60,"59,6","59,8","0,9","2,91",,,,3,6,,"0,31","0,61","0,08","17,69","17,43",108,"0,8","1,2","0,7","665,34","627,48","0,258",28,0.500,РОССИЯ,бежевый,Узоры,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,,Стена,Для внутренней отделки,Внутренняя отделка;Ванная комната,https://pvi.cersanit.ru/upload/uf/20f/ECL011.jpg,https://pvi.cersanit.ru/upload/uf/584/INT_Effecta_jungle_1_1_.jpg,2,https://pvi.cersanit.ru/upload/uf/580/INT_Effecta_jungle_1_3.jpg;https://pvi.cersanit.ru/upload/uf/9b2/INT_Effecta_jungle_1_2.jpg,https://www.youtube.com/watch?v=MWIBp8kuTnU
A15925,15925,15925,"Настенная вставка Calacatta шеврон белый 29,8x59,8","Настенная вставка Cersanit Calacatta шеврон белый  29,8x59,8 A15925",шеврон,Настенная вставка,4690311101679,4690311101686,,Cersanit,Calacatta,Классический,шт.,"29,8x59,8",30x60,30x60,"29,8","59,8","0,9","2,97",2,18,36,6,6,,"0,31","0,61","0,08","18,06","17,802",216,"0,8","1,2","0,7","678,66","640,872","0,258",28,0.500,РОССИЯ,белый,Узоры,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,1,Стена,Для внутренней отделки,Внутренняя отделка;Ванная комната,https://pvi.cersanit.ru/upload/uf/3e2/KTL051.jpg,https://pvi.cersanit.ru/upload/uf/4c2/INT_Calacatta_2_1.jpg,2,https://pvi.cersanit.ru/upload/uf/fa4/INT_Calacatta_2_2.jpg;https://pvi.cersanit.ru/upload/uf/798/INT_Calacatta_2_3.jpg,https://www.youtube.com/watch?v=whoQ2pgGkpc
